"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2128","Check displaying of dashboard page","tests.dashboard","2026-07-10","passed","2026-07-10","TestDashboard","test_dashboard","",""
"","4147","Edit course","tests.courses","2026-07-10","passed","2026-07-10","TestCourses","test_courses","",""
"","2240","Registration with correct email, username and password","tests.authentication","2026-07-10","passed","2026-07-10","TestRegistration","test_registration","",""
"","2002","Navigation from login page to registration page","tests.authentication","2026-07-10","passed","2026-07-10","TestAutorization","test_authorization","",""
"","1758","Navigation from login page to registration page","tests.authentication","2026-07-10","passed","2026-07-10","TestAutorization","test_authorization","",""
"","1653","Check displaing of empty courses list","tests.courses","2026-07-10","passed","2026-07-10","TestCourses","test_courses","",""
"","5751","Edit course","tests.courses","2026-07-10","passed","2026-07-10","TestCourses","test_courses","",""
"","11837","User login with correct email and password","tests.authentication","2026-07-10","passed","2026-07-10","TestAutorization","test_authorization","",""
"","2023","Check displaying of dashboard page","tests.dashboard","2026-07-10","passed","2026-07-10","TestDashboard","test_dashboard","",""
"","2370","User login with wrong email or password","tests.authentication","2026-07-10","passed","2026-07-10","TestAutorization","test_authorization","",""
"","2255","User login with wrong email or password","tests.authentication","2026-07-10","passed","2026-07-10","TestAutorization","test_authorization","",""
"","2250","User login with wrong email or password","tests.authentication","2026-07-10","passed","2026-07-10","TestAutorization","test_authorization","",""
"","2097","User login with wrong email or password","tests.authentication","2026-07-10","passed","2026-07-10","TestAutorization","test_authorization","",""
"","3385","Create course","tests.courses","2026-07-10","passed","2026-07-10","TestCourses","test_courses","",""
"","1794","Check displaing of empty courses list","tests.courses","2026-07-10","passed","2026-07-10","TestCourses","test_courses","",""
"","3209","Create course","tests.courses","2026-07-10","passed","2026-07-10","TestCourses","test_courses","",""
"","2128","User login with wrong email or password","tests.authentication","2026-07-10","passed","2026-07-10","TestAutorization","test_authorization","",""
"","2051","Registration with correct email, username and password","tests.authentication","2026-07-10","passed","2026-07-10","TestRegistration","test_registration","",""
"","1596","User login with wrong email or password","tests.authentication","2026-07-10","passed","2026-07-10","TestAutorization","test_authorization","",""
"","4740","User login with correct email and password","tests.authentication","2026-07-10","passed","2026-07-10","TestAutorization","test_authorization","",""
